Course Number,Course Name,Department,Prerequisites,Corequesites,Description
JMC 40004 ,"COMPUTER ASSISTED REPORTING
",JMC,"2.000 overall GPA; and JMC 26007 or 26008 either with a grade of C-(1.700) or better. 
",None,"(Cross-listed with JMC 50004) Computer analysis of large data sets,focusing on government court police
records for preparation of news stories basics of online searching software and databases. A GPA of 2.700 is
required in the major."
JMC 40006 ,"LAW OF MASS COMMUNICATION
",JMC,"2.000 overall GPA;and journalsim and mass communication (JMC) major and senior standing and special approval needed from
department. 
",None,"(Cross-listed with JMC 50006) Libel and slander;privacy copyright obscenity regulation of advertising
broadcasting and corporate speech access to government legal;problems of new media. See your adviser for
major specific prerequisite courses. A GPA of 2.700 is required in the major."
JMC 40007 ,"REVIEWING THE ARTS
",JMC,"2.000 overall GPA; and agrade of B- (2.700) or better in JMC 20004 or JMC 26001 with a grade of C- (1.700) or better; and junior or
senior standing. 
",None,"(Cross-listed with JMC 50007) Reviewing and criticizing of performing, visual and literary arts. Emphasis on
books, film, TV and theatre. A GPA of 2.700 is required in the major."
JMC 40009 ,"COMPARATIVE MEDIA SYSTEMS
",JMC,2.000 overall GPA; and junior or senior standing and special approval.,None,"Study of the forms,organization scope and modes of operation of media systems in foreign lands. Also
examines agents channels and contents of international communication. A GPA of 2.700 is required in the
major."
JMC 40010 ,"ETHICS AND ISSUES IN MASS COMMUNICATION
",JMC,"2.000 overall GPA; andjournalism and mass communication (JMC); and senior standing; and at least 18 hours of JMC courses with a
C- (1.700) or better, including a grade of C- (2.700) or better in JMC 20004 or 26001. 
",None,"Ethical problems and issues in mass communication within a framework of basic theories,functions and social
roles of the mass media. A GPA of 2.700 is required in the major."
JMC 40011 ,"ETHICAL ISSUES IN INTEGRATED COMMUNICATION
",JMC,"2.000 overall GPA; JMC 31002 and 31003 or JMC 38002; and advertising (ADV) orpublic relations (PR) major. 
",None,"Focuses specifically on the ethical and moral issues affecting Advertising and Public Relations professionals.
Focuses solely on Integrated Communications. Students will understand and appreciate the complex moral
and ethical decisions that professionals make each day, often under intense deadline pressure. They also
acquire their basic problem-solving skills to manage these issues in real time. A GPA of 2.700 is required in
the major."
JMC 40012 ,"ONLINE JOURNALISM
",JMC,"2.000 overall GPA; and JMC 26007 or 26008 with a gradeof C- (1.700) or better. 
",None,"Study and evaluation of online news and news sites;reporting and writing for online news media design
production and maintenance of an online news site ethical legal and economic issues related to online news. A
GPA of 2.700 is required in the major."
JMC 40013 ,"TELEVISION SPORTS PRODUCTION
",JMC,"2.000 cumulative GPA; and sophomore, junior or senior standing; andjournalism and mass communication (JMC) major. 
",None,"(Cross-listed with JMC 50013) A comprehensive study of the productio of live action television. A GPA of 2.700
is required in the major."
JMC 40015 ,"MEDIA MANAGEMENT
",JMC,"2.000 overall GPA; and a C- (1.700) or better in JMC 20004 or JMC 26001; andjournalism and mass communication (JMC) major and senior standing. 
",None,"(Cross-listed with JMC 50015) Exploring management issues unique to media organizations and the impact of
those issues on the organization's structure,economics markets and employees. A GPA of 2.700 is required in
the major."
JMC 40016 ,"LAW OF ADVERTISING AND PUBLIC RELATIONS
",JMC,"2.000 overall GPA;and 18 hours of JMC courses all with a grade of C- (1.700) or better; and JMC 31002 or 31003 or 38002 with
a grade of C-(1.700) or better; and advertising (ADV) or public relations (PR) majors. 
",None,"(Cross-listed with JMC 50016) Regulation of advertising and corporate speec;first amendement libel and
privacy legal problems of new media.A GPA of 2.700 is required in the major."
