Course Number,Course Name,Department,Prerequisites,Corequesites,Description
MATH 45011 ,"DIFFERENTIAL GEOMETRY
",MATH,"MATH 22005 with a minimumgrade of C (2.000).
",None,Analytic and metric differential geometry of curves and surfaces.
MATH 45021 ,"EUCLIDEAN GEOMETRY
",MATH,"MATH 21001 with a minimum grade of C(2.000); or special approval of instructor.
",None,"Geometry of Euclid extended to advanced topics of the triangle, quadrilaterals and circles: cross-ratio, groups,
 constructions, geometric generalizations; inversion."
MATH 45022 ,"LINEAR GEOMETRY
",MATH,MATH 21001 with a minimum grade of C (2.000).,None,"Using transformations as a tool to study geometry and to differentiate between different kinds of geometry.
 Linear algebra methods applied to geometry."
MATH 46001 ,"ELEMENTARY TOPOLOGY
",MATH,"MATH 22005 with a minimumgrade of C (2.000).
",None,"Metric spaces, introduction to topological spaces, separation axioms."
MATH 47011 ,"THEORY OF NUMBERS
",MATH,"MATH12003 with a grade of C (2.000) or better.
",None,"Divisibility properties of the integers, prime numbers, congruences, quadratic reciprocity, Diophantine
 equations, number theoretic functions, simple continued fractions, rational approximations."
MATH 47021 ,"HISTORY OF MATHEMATICS
",MATH,"3 hours of mathematics beyondMATH 22005 with a minimum grade of C (2.000).
",None,"Survey from Babylonian and Egyptian mathematics to 20th century mathematics with emphasis on the
 development of algebra, geometry, calculus, number theory."
MATH 49995 ,"SELECTED TOPICS IN MATHEMATICS AND ITS APPLICATIONS
",MATH,Permission.,None,"(repeated registration permitted) various special courses will be announced in the schedule of classes under this
 course number with different section numbers."
MATH 49996 ,"INDIVIDUAL STUDY
",MATH,special approval.,None,(Repeatable for credit)
MATH 49998 ,"RESEARCH
",MATH,special approval.,None,(Repeatable for credit)
MATH 50011 ,"INTRODUCTION TO PROBABILITY THEORY AND APPLICATIONS
",MATH,MATH 12003 and graduate standing.,None,"Permutations and combinations, discrete and continuous distributions, random variables, conditional
 probabilities, Baye's formula, mathematical expectation, law of large numbers, normal approximations, basic
 limit theorems."
MATH 50012 ,"INTRODUCTION TO STATISTICAL CONCEPTS
",MATH,"MATH4/50011 and graduate standing.
",None,"Sample spaces, continuous distributions, sampling distributions, point and interval estimation, hypothesis
 testing, types of error, level and power of tests, sequential and nonparametric methods."
MATH 50051 ,"TOPICS IN PROBABILITY THEORY AND STOCHASTIC PROCESSES
",MATH,MATH 50011 and graduate standing.,None,"Topics from conditional expectations, Markov chains, Markov processes, Brownian Motion and Martingales and
 their applications to stochastic calculus."
MATH 50055 ,"ACTUARIAL MATHEMATICS I
",MATH,MATH 30055 and 50011; graduate standing.,None,"(Slashed with MATH 40055) Topics from survival models, stochastic analysis of annuities and life insurance and
 casualty models."
MATH 50056 ,"ACTUARIAL MATHEMATICS II
",MATH,MATH 50055; graduate standing.,None,"Benefit premiums, benefit reserves and their analysis; decrement models,
joint survivorship, risk models."
MATH 50059 ,"STOCHASTIC ACTUARIAL MODELS
",MATH,MATH 50011 with a minimum grade of C (2.000); and graduate standing.,None,"Designed to prepare students for the Society of Actuaries examination on
actuarial mathematics."
MATH 51001 ,"INTRODUCTION TO MODERN ALGEBRA I
",MATH,MATH 21001 and 22005. Graduate standing.,None,"Basic properties of groups, subgroups, factor groups. Basic properties of rings, integral domains and
 homomorphisms."
MATH 51002 ,"INTRODUCTION TO MODERN ALGEBRA II
",MATH,MATH 4/51001. Graduate standing.,None,"A continuation of MATH 51001, emphasizing properties of rings, their ideals, polynomial ring extensions, fields,
 finite degree extensions, roots of polynomials, constructibility."
MATH 51021 ,"THEORY OF MATRICES
",MATH,MATH 21001 and 22005. Graduate standing.,None,"A rigorous study of the topics introduced in matrix algebra. Topics included are: canonical forms of matrices,
 diagonalizability criteria."
MATH 51038 ,"INTERMEDIATE LOGIC
",MATH,graduate standing.,None,"(Cross-listed with CS 41038 and MATH 41038 and PHIL 41038 and PHIL 51038) Study of first order predicate
 calculus with identity and function symbols."
MATH 51045 ,"METALOGIC
",MATH,"Graduatestanding.
",None,"(Cross-listed with CS 41045 and CS 51045 and MATH 41045 and PHIL 41045 and PHIL 51045) Consideration of
various metatheorems including soundness and completeness of propositional and predicate calculus,
undecidability of predicate calculus, and incompleteness of the theory of arithmetic."
MATH 52001 ,"INTRODUCTION TO ANALYSIS I
",MATH,"MATH 21001 and 22005. Graduatestanding.
",None,"Topics include basic structure of the real numbers, Cauchy sequences, convergence, completeness of the real
 numbers ,continuity, differentiation and Riemann integration."
MATH 52002 ,"INTRODUCTION TO ANALYSIS II
",MATH,MATH 4/ 52001 and graduate standing.,None,"Topics include further development of integration theory infinite series, uniform convergence, several variable
 calculus and metric spaces."
MATH 52011 ,"MATHEMATICAL OPTIMIZATION
",MATH,"MATH 21001 and 22005. Graduatestanding.
",None,"Analytical and numerical techniques for location of extreme points of functions and calculus of variations. Both
 constrained and unconstrained
problems are considered."
MATH 52021 ,"GRAPH THEORY AND COMBINATORICS
",MATH,"MATH 12003 and 21001 and graduatestanding.
",None,"Fundamentals and applications of combinatorial mathematics. Topics include transversability, colorability,
 networks, inclusion and exclusion, matching and designs."
MATH 52024 ,"NUMBERS AND GAMES
",MATH,Special approval of instructor and graduate standing.,None,The study of partisan and impartial combinatorial games; games as numbers; Grundy-Sprague theory.
MATH 52031 ,"MATHEMATICAL MODELS AND DYNAMICAL SYSTEMS
",MATH,MATH 32044 and graduate standing.,None,"Formulation and analysis of mathematical models for a variety of phenomena. Mathematical methods from
 optimization, dynamical systems and
probability are developed and applied. Modern software tools are utilized."
MATH 52039 ,"MODELING PROJECTS
",MATH,MATH 52031; and graduate standing.,None,"(Slashed with MATH 42039) (Repeatable for credit) Individual and small-group projects concerned with the
 formulation and analysis of mathematical models in a variety of areas. Written and oral reports required."
MATH 52041 ,"ADVANCED CALCULUS
",MATH,"MATH 21001 and22205.
",None,"The calculus and applications of scalar and vector functions of several variables. Vector differential and integral
 calculus. Applications to field theories, electricity and magnetism, and fluid flow."
MATH 52045 ,"INTRODUCTION TO PARTIAL DIFFERENTIAL EQUATIONS
",MATH,MATH 32044 and graduate standing.,None,"Introduction to Fourier series, Fourier transforms and partial differential equations. Wave, heat and potential
 equations of mathematical physics. Additional topics include Green's functions and the Method of Characteristics
 for wave equations."
MATH 52048 ,"INTRODUCTION TO COMPLEX VARIABLES
",MATH,MATH 22005 and graduate standing.,None,"Algebra of complex numbers, analytic functions, mappings, Cauchy integral theory, residue theory and
 applications."
MATH 52201 ,"INTRODUCTION TO NUMERICAL COMPUTING I
",MATH,"MATH 12003, 21001 and CS 23021.Graduate standing.
",None,"(Cross-listed with CS 42201 and CS 52201 and MATH 42201)An introduction to numerical methods and
 software for solving many common scientific computing problems. Linear systems, least-square data fitting,
 nonlinear
equations and systems and optimization problems."
MATH 52202 ,"INTRODUCTION TO NUMERICAL COMPUTING II
",MATH,MATH 32044 and 52201. Graduate standing.,None,"(Cross-listed with CS 42202 and CS 52202 and MATH 42202) A continuation of MATH 52201. Topics include
 interpolation, numerical differentiation and integration, and numerical solution of ordinary differential equations."
MATH 55011 ,"DIFFERENTIAL GEOMETRY
",MATH,"MATH 22005 and graduatestanding.
",None,Analytic and metric differential geometry of curves and surfaces.
MATH 55021 ,"EUCLIDEAN GEOMETRY
",MATH,MATH 21001. Graduate standing.,None,"Geometry of Euclid extended to advanced topics of the triangle, quadrilaterals and circles: crossratio, groups,
 constructions, geometric
generalizations; inversion."
MATH 55022 ,"LINEAR GEOMETRY
",MATH,MATH 21001 and graduate standing.,None,"Use of transformations as a tool to study geometry and to differentiate between different kinds of geometry.
 Linear algebra methods applied to geometry."
MATH 56001 ,"ELEMENTARY TOPOLOGY
",MATH,"MATH 22005 and graduatestanding.
",None,"Metric spaces, introduction to topological spaces, separation axioms."
MATH 57011 ,"THEORY OF NUMBERS
",MATH,"MATH12003. Graduate standing.
",None,"Divisibility properties of the integers, prime numbers, congruences, quadratic reciprocity, Diophantine
 equations, number theoretic functions, simple continued fractions, rational approximations."
MATH 57021 ,"HISTORY OF MATHEMATICS
",MATH,"3 credit hours of mathematicsbeyond MATH 22005 and graduate standing.
",None,"Survey from Babylonian and Egyptian mathematics to 20th-century mathematics with emphasis on the
 development of algebra, geometry, calculus, number theory."
MATH 57091 ,"SELECTED TOPICS IN MATHEMATICS AND ITS APPLICATIONS
",MATH,Special approval of instructor and graduate standing.,None,"(Repeatable for credit)Various special courses will be announced in the schedule of classes under this course
 number with different section numbers."
MATH 59893 ,"VARIABLE TITLE WORKSHOP IN MATHEMATICS
",MATH,"Special approvaland graduate standing.
",None,(Repeatable for credit)Studies in special topics in pure and applied mathematics.
MATH 60051 ,"PROBABILITY I
",MATH,MATH 4/50011 or 4/52002. Graduate standing.,None,"Distribution functions, measure theory, random variables, expectation, independence, convergence, concepts,
 law of large numbers."
MATH 60052 ,"PROBABILITY II
",MATH,MATH 6/70051 and graduate standing.,None,"Characteristic functions, the central limit problem, conditional expectations, Martingale theory, Brownian
 motion."
MATH 60061 ,"MATHEMATICAL STATISTICS I
",MATH,"MATH 4/52002.Graduate standing.
",None,"Statistics, distributions of statistics. Sampling distributions. Decision spaces and loss functions. Sufficiency and
 completeness. Estimation theory. Rao Blackwell and the Cramer Rao theorems."
MATH 60062 ,"MATHEMATICAL STATISTICS II
",MATH,MATH 6/70061. Graduate standing.,None,"Tests of statistical hypothesis. Neyman Pearson Lemma. Exponential families and invariance. Sequential tests.
 Non-parametric procedures."
MATH 60070 ,"FINANCIAL MATHEMATICS
",MATH,MATH 50051 and graduate standing.,None,"Topics from replication of trading strategies, arbitrage, completeness, Martingale representation theorem,
 fundamental theorem of finance, stochastic differential equations, Black and Scholes formula of option pricing."
