Course Number,Course Name,Department,Prerequisites,Description
41045,"and MATH 41045) Consideration of various metatheorems, including soundness and completeness of propositional and predicate calculus, undecidability of predicate calculus and incompleteness of the theory of arithmetic. Prerequisite: PHIL 31045.41050 Philosophical Analysis",PHIL,departmental special approval before registration,Study of major problems in analytic philosophy and subsequent philosophical analysis.
31001,or 31003 or 31004 or 31005 or 31006 or 31010 or 31020.41055 Phenomenology,PHIL,departmental special approval before registration,"Investigation of phenomenological movement, its methods and the scope and course of its applications in philosophy and other disciplines."
31001,or 31003 or 31004 or 31005 or 31006 or 31010 or 31020.41060 Pragmatism,PHIL,departmental special approval before registration,"Detailed reading from classical American pragmatists, along with some attention to later interpretations and explorations of current reappraisals and developments."
31001,or 31003 or 31004 or 31005 or 31006 or 31010 or 31020.41065 Plato,PHIL,departmental special approval before registration,"Detailed examination of selected Platonic dialogues, with some attention to Plato’s development and dismissal of certain pre-Socratic (and Socratic) themes."
31001,or 31003 or 31004 or 31005 or 31006 or 31010 or 31020.41070 Aristotle,PHIL,departmental special approval before registration,"Detailed examination of selected works of Aristotle, with some attention given to Aristotle’s development and dismissal of certain pre-Socratic and Platonic themes."
31001,or 31003 or 31004 or 31005 or 31006 or 31010 or 31020.41076 Continental Philosophy,PHIL,departmental special approval before registration,"Investigation of some figure, issue or theme in continental philosophy from Descartes to present."
31001,or 31003 or 31004 or 31005 or 31006 or 31010 or 31020.41077 British and American Thought,PHIL,departmental special approval before registration,Detailed investigation of a figure or issue in British or American philosophy.
31001,or 31003 or 31004 or 31005 or 31006 or 31010 or 31020.41080 Philosophy and Art in the Modern Age,PHIL,departmental special approval before registration,"Exploring, with emphasis on the modern age, philosophical conceptions of art in their interplays with, especially, practicing artists’ attitudes toward theory. Prerequisites: none. This course may be used to satisfy the writing intensive requirement (WIC).41085 Philosophy and Cultural Theory (3)A discussion of the philosophical bases of aspects of cultural theory such as post colonialism and the negritude movement."
41085,Philosophy and Cultural Theory,PHIL,departmental special approval before registration,A discussion of the philosophical bases of aspects of cultural theory such as post colonialism and the negritude movement.
31001,or 31003 or 31004 or 31005 or 31006 or 31010 or 31020.41086 Philosophy of Expression,PHIL,departmental special approval before registration,"Concentrated study of expression through philosophy of literature, of music, of body, of language or of symbols."
